"author","count_publications","nova_author"
"Costa,AA",1,"no"
"Costa,C",4,"no"
"Costa,E",1,"yes"
"Costa,JR",1,"no"
"Costa,L",2,"yes"
"Costa,S",5,"yes"
"Costa,SP",3,"no"
"Costabile,M",1,"no"
"CostaDuarte,MC",1,"no"
"CotaMedeiros,F",1,"no"
"Coutts,A",3,"yes"
"Craveiro,I",1,"yes"
"Cremers,M",1,"no"
"Crespo,CF",2,"no"
"Crespo,JG",1,"yes"
"Crespo,NF",1,"no"
"CrespoSoler,C",1,"no"
"Crevani,L",1,"no"
"Cruz,J",1,"no"
"Cui,L",1,"no"
"Cui,Y",1,"no"
"Cunha,I",3,"yes"
"Cunha,JV",1,"no"
"Cunha,MP",82,"yes"
"Cunha,MPE",35,"yes"
"Cunha,R",6,"yes"
"CunhaeSá,MA",9,"yes"
"CunhaESá,MA",1,"yes"
"Custódio,C",1,"yes"
"Cuypers,IRP",2,"no"
"Cuypers,Y",2,"yes"
"Dafny,L",1,"no"
"Dagher,G",1,"no"
"Dagher,GK",1,"no"
"Daher,P",1,"no"
"Dai,Q",2,"yes"
"Dalğar,İ",1,"no"
"daMata,A",1,"no"
"dArminioMonforte,A",1,"no"
"DaRochaLopes,S",1,"no"
"daSilva,CV",1,"yes"
"DaSilva,SV",1,"no"
"daSilveira,C",1,"yes"
"Davel,E",1,"no"
"David,G",1,"no"
"David,J",1,"no"
"deAlmeida,JMC",1,"no"
"DeAngelis,M",1,"no"
"DeBernardis,L",1,"no"
"deCarvalho,JC",1,"yes"
"Decreton,B",2,"yes"
"DeCuyper,N",1,"no"
"DeGiorgi,E",1,"yes"
"deGiovanni,P",3,"yes"
"DelaTorreRosas,A",1,"no"
"Delavande,A",9,"yes"
"DelBarrioCastro,T",2,"no"
"DeMaeseneer,J",2,"no"
"deMello,L",1,"no"
"Demirbag,M",1,"no"
"Demirci,I",1,"yes"
"Demiroglu,C",1,"no"
"DenAmbtman,A",1,"no"
"Deng,M",2,"no"
"Dentinho,T",3,"no"
"deOliveira,G",1,"no"
"DePourcq,K",1,"no"
"DeRegge,M",1,"no"
"deRoon,F",1,"no"
"deSousa,AAG",1,"no"
"deSousa,L",1,"no"
"deSousa,MO",1,"no"
"DeSousa,RD",2,"yes"
"Deudon,JC",1,"no"
"DeWitte,H",1,"no"
"Dias,AC",1,"no"
"Dias,AL",2,"no"
"Dias,DA",1,"no"
"Dias,F",2,"no"
"Dias,J",1,"no"
"Dias,JA",1,"no"
"Dias,JC",1,"yes"
"Dias,JG",1,"no"
"Dias,MI",1,"no"
"Dias,SS",1,"yes"
"Dibben,P",1,"no"
"Dickenbrok,C",1,"no"
"Didier,P",2,"yes"
"Dierickx,I",1,"no"
"Dille,T",1,"no"
"Diniz,EH",1,"no"
"DiscuaCruz,A",1,"no"
"Doh,JP",1,"no"
"Doruk,I",1,"no"
"Dotson,JP",1,"no"
"Dovey,K",1,"no"
"Dranove,D",1,"no"
"Draper,D",1,"no"
"Duan,W",1,"no"
"Duarte,C",1,"no"
"Duarte,E",2,"no"
"Duarte,F",1,"no"
"Duarte,JB",3,"yes"
"Duarte,MC",1,"no"
"Duarte,MP",1,"no"
"Dumont,KB",1,"no"
"Dursun,P",1,"no"
"Dussault,G",2,"no"
"Duyan,EC",1,"no"
"Dysvik,A",1,"no"
"Edelmann,CM",1,"no"
"Eisenberger,R",3,"no"
"Eliášová,M",1,"no"
"Epitropaki,O",1,"no"
"Ercolani,V",4,"no"
"Ertug,G",1,"no"
"EspositoVinzi,V",1,"no"
"Essoh,AP",5,"yes"
"Esteves,C",1,"no"
"Esteves,PS",2,"no"
"Estrada,E",2,"no"
"Evans,R",1,"no"
"Evans,RB",1,"no"
"Ezeokoli,OT",1,"no"
"Fafchamps,M",2,"no"
"Fagandini,P",1,"yes"
"Fagundes,JA",1,"no"
"Faias,JA",2,"no"
"Faias,M",1,"yes"
"Falcão,PF",1,"no"
"Fangueiro,D",2,"no"
"Fareleira,P",1,"no"
"Faria,AR",3,"no"
"FariaeCastro,M",1,"no"
"Farias,C",1,"no"
"Farinha,L",1,"no"
"Faroleiro,P",1,"yes"
"Faust,NT",2,"yes"
"Félix,S",3,"yes"
"Felíx,SMC",1,"yes"
"Fernandes,A",1,"no"
"Fernandes,Â",2,"no"
"Fernandes,AF",1,"no"
"Fernandes,JS",1,"no"
"Fernandes,M",2,"no"
"Fernandes,N",1,"no"
"Fernandes,S",1,"no"
"FernandesFerreira,L",1,"yes"
"Fernandez,KC",1,"no"
"Ferraz,DP",6,"yes"
"Ferreira,A",1,"no"
"Ferreira,AI",10,"no"
"Ferreira,D",2,"no"
"Ferreira,E",2,"no"
"Ferreira,FAF",2,"no"
"Ferreira,ICFR",2,"no"
"Ferreira,L",5,"yes"
"Ferreira,LF",5,"yes"
"Ferreira,MA",20,"yes"
"Ferreira,MH",1,"no"
"Ferreira,P",1,"no"
"Ferreira,PC",1,"no"
"Ferreira,PL",1,"yes"
"Ferreira,V",2,"no"
"FerreiradaSilva,JA",4,"yes"
"FerreiraLopes,A",1,"no"
"FerreiraMachado,JA",1,"no"
"FerreiraMagalhães,M",1,"no"
"Ferro,A",1,"no"
"Fialho,T",1,"no"
"Figueiredo,M",1,"no"
"Figuli,L",1,"no"
"Filipe,L",1,"no"
"Finimundy,TC",1,"no"
"FlorLima,F",1,"no"
"Fonseca,FB",1,"yes"
"Fonseca,V",1,"no"
"Fontes,MA",1,"no"
"Forseth,U",1,"no"
"Fortes,A",3,"no"
"Fracassi,C",1,"no"
"Fracchia,M",1,"yes"
"Frade,PMS",1,"no"
"Fragata,JIG",1,"no"
"Fragoso,P",3,"no"
"Franco,F",2,"yes"
"Franco,SF",7,"yes"
"Frangos,JM",2,"no"
"Frankowska,N",1,"no"
"Fransen,K",1,"no"
"Franzoni,AMB",1,"no"
"Freeder,D",1,"no"
"Freitas,Â",1,"no"
"Freitas,E",1,"no"
"Freitas,L",1,"no"
"Freitas,P",1,"no"
"Freitas,R",1,"no"
"Friedman,L",2,"no"
"Furceri,D",2,"no"
"Gabriel,Y",1,"no"
"Gaim,M",5,"no"
"GalanLadero,M",1,"no"
"Galante,J",1,"no"
"Galinha,CF",2,"yes"
"GarcíaAel,C",1,"no"
"GarciaAlegre,AG",1,"no"
"Gardete,PM",1,"yes"
"Ge,J",1,"no"
"Genzlinger,F",1,"no"
"Georgiev,I",4,"yes"
"Geppert,M",1,"no"
"Gerasymenko,V",1,"yes"
"Ghattas,H",1,"no"
"Giessner,S",1,"no"
"GilLópez,Á",1,"no"
"Gimeno,J",1,"no"
"Gino,F",1,"no"
"Girard,V",3,"yes"
"Giudice,MD",1,"no"
"Giustiniano,L",11,"yes"
"Glaister,AJ",2,"no"
"Glaister,KW",1,"no"
"Gomes,AMF",2,"yes"
"Gomes,E",30,"yes"
"Gomes,I",1,"no"
"Gomes,JF",1,"no"
"Gomes,JFS",3,"no"
"Gomes,LA",1,"no"
"Gomes,PJ",2,"no"
"Gomes,S",1,"yes"
"Gonçalves,C",3,"yes"
"Gonçalves,D",1,"no"
"Gonçalves,I",1,"no"
"Gonçalves,J",6,"yes"
